Episode Number,Episode Title,Fact Number,Presenter,Fact,Start Time,Publish Date,Episode Slug
,142: No Such Thing As Edward Binbag-Hands,3,Andrew Hunter Murray,"Running a leaf blower for 30 minutes creates more emissions than driving a pickup truck 3,800 miles.",00:18:11,2022-07-26T10:16:32.000Z,142-no-such-thing-as-edward-binbag-hands
,142: No Such Thing As Edward Binbag-Hands,4,Richard Zinsky,Early humans had spiky penises.,00:26:50,2022-07-26T10:16:32.000Z,142-no-such-thing-as-edward-binbag-hands
,143: No Such Thing As Chariots in Space,1,James Harkin,"Scientists at MIT have invented an artificial intelligence that can see into the future, but it can only tell two seconds into the future.",00:00:39,2022-07-26T10:19:17.000Z,143-no-such-thing-as-chariots-in-space
,143: No Such Thing As Chariots in Space,2,Alex Bell,Big Ben is falling over.,00:10:01,2022-07-26T10:19:17.000Z,143-no-such-thing-as-chariots-in-space
,143: No Such Thing As Chariots in Space,3,Anna Ptaszynski,"When aspirin tablets were first introduced, people were unsure how to take them, so one patient ended up strapping them to his head to cure a headache.",00:18:00,2022-07-26T10:19:17.000Z,143-no-such-thing-as-chariots-in-space
,143: No Such Thing As Chariots in Space,4,Dan Schreiber,The first British plans to put a human on the moon were made by Oliver Cromwell's brother-in-law.,00:25:32,2022-07-26T10:19:17.000Z,143-no-such-thing-as-chariots-in-space
,144: No Such Thing As Garlic Superman,1,Andrew Hunter Murray,"In 1851, all of the 436,800 sandwiches sold on the streets of London were ham.",00:00:39,2022-07-26T10:19:44.000Z,144-no-such-thing-as-garlic-superman
,144: No Such Thing As Garlic Superman,2,Alex Bell,"Since 2003, the UK has eaten one and a half million pounds in cash.",00:12:01,2022-07-26T10:19:44.000Z,144-no-such-thing-as-garlic-superman
,144: No Such Thing As Garlic Superman,3,Dan Schreiber,A day on the sun lasts both 25 and 38 Earth days.,00:20:56,2022-07-26T10:19:44.000Z,144-no-such-thing-as-garlic-superman
,144: No Such Thing As Garlic Superman,4,James Harkin,"In 1945, police in Halifax, Nova Scotia initiated a campaign to stop people from beeping their car horns in Morse code to signal out vile and filthy language.",00:26:04,2022-07-26T10:19:44.000Z,144-no-such-thing-as-garlic-superman
,145: No Such Thing as E.T. Part Three,1,James Harkin,"The word 'soon' used to mean right now, but people would misuse it, and so it came to mean in a bit.",00:01:20,2022-07-26T10:20:15.000Z,145-no-such-thing-as-e-t-part-three
,145: No Such Thing as E.T. Part Three,2,Anna Ptaszynski,The number plate of the car in which Franz Ferdinand was shot is the date that World War One ended.,00:02:11,2022-07-26T10:20:15.000Z,145-no-such-thing-as-e-t-part-three
,145: No Such Thing as E.T. Part Three,3,Dan Schreiber,Australian bushrangers would put their horseshoes on their horses backwards so that their tracks would appear to be going in the opposite direction.,00:05:03,2022-07-26T10:20:15.000Z,145-no-such-thing-as-e-t-part-three
,145: No Such Thing as E.T. Part Three,4,Andrew Hunter Murray,"The US military blasted AC/DC music at General Noriega's compound in Panama for two days continuously to remove him, and he surrendered as a result.",00:06:41,2022-07-26T10:20:15.000Z,145-no-such-thing-as-e-t-part-three
,146: No Such Thing As A Queen Orca,1,James Harkin,The first man to use an umbrella in London was pelted with rubbish for doing so.,00:00:37,2022-07-26T10:21:30.000Z,146-no-such-thing-as-a-queen-orca
,146: No Such Thing As A Queen Orca,2,Sarah Pascoe,"The male brain changes when his partner is pregnant, with testosterone dropping and prolactin increasing, making them less aggressive.",00:15:18,2022-07-26T10:21:30.000Z,146-no-such-thing-as-a-queen-orca
,146: No Such Thing As A Queen Orca,3,Andrew Hunter Murray,A fifth of all the species of coral on the planet have been named by the same man.,00:29:05,2022-07-26T10:21:30.000Z,146-no-such-thing-as-a-queen-orca
,146: No Such Thing As A Queen Orca,4,Dan Schreiber,The first female British playwright was called Joanna Lumley.,00:39:40,2022-07-26T10:21:30.000Z,146-no-such-thing-as-a-queen-orca
,147: No Such Thing As Burrito Party Boy,1,James Harkin,"In 1683, some people were ice skating in the Netherlands when the ice broke away and they floated all the way to Essex.",00:00:36,2022-07-26T10:21:54.000Z,147-no-such-thing-as-burrito-party-boy
,147: No Such Thing As Burrito Party Boy,2,Alex Bell,Former Argentinian president Carlos Menem had such a reputation for bad luck that people would touch their left breast or testicle while shaking his hand.,00:10:04,2022-07-26T10:21:54.000Z,147-no-such-thing-as-burrito-party-boy
,147: No Such Thing As Burrito Party Boy,3,Dan Schreiber,Isambard Kingdom Brunel once spent six weeks with a coin stuck in his windpipe as a result of a magic trick that backfired.,00:18:00,2022-07-26T10:21:54.000Z,147-no-such-thing-as-burrito-party-boy
,147: No Such Thing As Burrito Party Boy,4,Andrew Hunter Murray,"To deal with violent or drunk people, Japanese police carry massive futons and roll the offender up in them to calm them down.",00:28:21,2022-07-26T10:21:54.000Z,147-no-such-thing-as-burrito-party-boy
,148: No Such Thing As A Plummeting Moose,1,Anna Ptaszynski,The second president of the United States of America used to inspect London's Dung.,00:00:34,2022-07-26T10:22:25.000Z,148-no-such-thing-as-a-plummeting-moose
,148: No Such Thing As A Plummeting Moose,2,James Harkin,You can be blocked from getting a Swiss passport if your neighbours find you too annoying.,00:09:29,2022-07-26T10:22:25.000Z,148-no-such-thing-as-a-plummeting-moose
,148: No Such Thing As A Plummeting Moose,3,Andrew Hunter Murray,There are people in the houses of parliament constantly looking for fire.,00:14:59,2022-07-26T10:22:25.000Z,148-no-such-thing-as-a-plummeting-moose
,148: No Such Thing As A Plummeting Moose,4,Alex Bell,The Cookie Monster isn't allowed to eat cookies.,00:20:31,2022-07-26T10:22:25.000Z,148-no-such-thing-as-a-plummeting-moose
,149: No Such Thing As The Train King Of Europe,1,James Harkin,"In 1758, there were two camels on display in London, one with a single hump and one with two humps. They were advertised as the surprising camel and the wonderful camel.",00:01:14,2022-07-26T10:22:56.000Z,149-no-such-thing-as-the-train-king-of-europe
,149: No Such Thing As The Train King Of Europe,2,Andrew Hunter Murray,"Before they are launched, London sends all its trains to Austria to be beaten up.",00:08:29,2022-07-26T10:22:56.000Z,149-no-such-thing-as-the-train-king-of-europe
,149: No Such Thing As The Train King Of Europe,3,Anne Miller,The oil company Shell used to sell shells.,00:15:30,2022-07-26T10:22:56.000Z,149-no-such-thing-as-the-train-king-of-europe
,149: No Such Thing As The Train King Of Europe,4,Anna Ptaszynski,"When Mozart first performed in Naples, he had to stop to take his ring off halfway through because the audience complained it was a magic ring.",00:23:33,2022-07-26T10:22:56.000Z,149-no-such-thing-as-the-train-king-of-europe
,150: No Such Thing As A Helium Filled Pufferfish,1,Dan Schreiber,"In the final years of its construction, Mount Rushmore was built by baseball players.",00:00:57,2022-07-26T10:23:31.000Z,150-no-such-thing-as-a-helium-filled-pufferfish
,150: No Such Thing As A Helium Filled Pufferfish,2,James Harkin,"On some train journeys in China, passengers are forced to take it in turns to use the seats so that everyone gets a chance to sit down for some of the journey.",00:09:38,2022-07-26T10:23:31.000Z,150-no-such-thing-as-a-helium-filled-pufferfish
,150: No Such Thing As A Helium Filled Pufferfish,3,Andrew Hunter Murray,The moon has been collecting tiny bits of Earth for the last three billion years.,00:17:59,2022-07-26T10:23:31.000Z,150-no-such-thing-as-a-helium-filled-pufferfish
,150: No Such Thing As A Helium Filled Pufferfish,4,Anna Ptaszynski,The most deadly user of Portuguese Man of War venom is not the Portuguese Man of War.,00:26:45,2022-07-26T10:23:31.000Z,150-no-such-thing-as-a-helium-filled-pufferfish
,151: No Such Thing As A Komodo Dragon Restaurant,1,Anna Ptaszynski,A frog's tongue is 10 times softer than a human's tongue.,00:00:38,2022-07-26T10:23:56.000Z,151-no-such-thing-as-a-komodo-dragon-restaurant
,151: No Such Thing As A Komodo Dragon Restaurant,2,Andrew Hunter Murray,"During the Second World War, Britain invented chocolate bars infused with garlic to give to pilots who were shot down and needed to make their breath authentically French.",00:12:24,2022-07-26T10:23:56.000Z,151-no-such-thing-as-a-komodo-dragon-restaurant
,151: No Such Thing As A Komodo Dragon Restaurant,3,Dan Schreiber,"The producer of King Kong had read the story of W. Douglas Burden, who was the first person to properly film Komodo Dragons and bring back live specimens.",00:18:12,2022-07-26T10:23:56.000Z,151-no-such-thing-as-a-komodo-dragon-restaurant
,151: No Such Thing As A Komodo Dragon Restaurant,4,James Harkin,You can improve your darts game by training yourself to dream about darts.,00:28:35,2022-07-26T10:23:56.000Z,151-no-such-thing-as-a-komodo-dragon-restaurant
,152: No Such Thing As A Sleepover With Lions,1,Andrew Hunter Murray,The Doomsday Clock was originally set at seven minutes to midnight because the artist responsible for it thought it looked good.,00:02:17,2022-07-26T10:24:18.000Z,152-no-such-thing-as-a-sleepover-with-lions
,152: No Such Thing As A Sleepover With Lions,2,James Harkin,Some villagers in the Central African Republic deliberately allow lions to live nearby so they can steal their food.,00:11:09,2022-07-26T10:24:18.000Z,152-no-such-thing-as-a-sleepover-with-lions
,152: No Such Thing As A Sleepover With Lions,3,Dan Schreiber,There is a Victorian time capsule buried in London that contains photographs of the 12 best looking women in England.,00:18:57,2022-07-26T10:24:18.000Z,152-no-such-thing-as-a-sleepover-with-lions
,152: No Such Thing As A Sleepover With Lions,4,Anna Ptaszynski,"After women stop breastfeeding, their breasts eat themselves.",00:31:02,2022-07-26T10:24:18.000Z,152-no-such-thing-as-a-sleepover-with-lions
,153: No Such Thing As Mulled Wine At The Dawn Of Time,1,Andrew Hunter Murray,The smallest football league in the world consists of two teams who play each other 22 times every season.,00:01:19,2022-07-26T10:24:41.000Z,153-no-such-thing-as-mulled-wine-at-the-dawn-of-time
,153: No Such Thing As Mulled Wine At The Dawn Of Time,2,Anna Ptaszynski,"In the 1940s in America, if you wanted to play a recording of a band song on the radio, the entire band had to be present in the studio while you played it.",00:11:04,2022-07-26T10:24:41.000Z,153-no-such-thing-as-mulled-wine-at-the-dawn-of-time
,153: No Such Thing As Mulled Wine At The Dawn Of Time,3,Dan Schreiber,"The British Library has a collection of over 60 million newspapers, and none of them can catch fire.",00:18:49,2022-07-26T10:24:41.000Z,153-no-such-thing-as-mulled-wine-at-the-dawn-of-time
,153: No Such Thing As Mulled Wine At The Dawn Of Time,4,James Harkin,The man who invented mulled wine also invented an aphrodisiac sorbet.,00:26:09,2022-07-26T10:24:41.000Z,153-no-such-thing-as-mulled-wine-at-the-dawn-of-time
,154: No Such Thing As A Submarine Shepherd,1,James Harkin,British warships are so noisy that enemy submarines can hear them from 100 miles away.,00:00:38,2022-07-26T10:25:06.000Z,154-no-such-thing-as-a-submarine-shepherd
,154: No Such Thing As A Submarine Shepherd,2,Anna Ptaszynski,"The first account of Europeans smoking cannabis reported that one hid in a jar for four hours, and another got into a fight with a pillar.",00:11:03,2022-07-26T10:25:06.000Z,154-no-such-thing-as-a-submarine-shepherd
,154: No Such Thing As A Submarine Shepherd,3,Andrew Hunter Murray,Glowworms go fishing with their own urine.,00:19:36,2022-07-26T10:25:06.000Z,154-no-such-thing-as-a-submarine-shepherd
,154: No Such Thing As A Submarine Shepherd,4,Dan Schreiber,"According to the Endangered Language Alliance, more languages are spoken in Queens, New York than anywhere else in the world.",00:31:33,2022-07-26T10:25:06.000Z,154-no-such-thing-as-a-submarine-shepherd
,155: No Such Thing As Hurricane Schmurricane,1,Dan Schreiber,Scientists can now predict when someone is going to fall over three weeks before it happens.,00:00:53,2022-07-26T10:26:39.000Z,155-no-such-thing-as-hurricane-schmurricane
,155: No Such Thing As Hurricane Schmurricane,2,James Harkin,"When he became president, Lyndon B. Johnson installed a special shower in the White House that fired a jet directly at his penis.",00:12:29,2022-07-26T10:26:39.000Z,155-no-such-thing-as-hurricane-schmurricane
,155: No Such Thing As Hurricane Schmurricane,3,Andrew Hunter Murray,"Rejected names for British storms include Baldrick, Noddy, Megatron, and Branch Warbler.",00:20:01,2022-07-26T10:26:39.000Z,155-no-such-thing-as-hurricane-schmurricane
,155: No Such Thing As Hurricane Schmurricane,4,Anna Ptaszynski,Boxer crabs use sea anemones as boxing gloves.,00:28:12,2022-07-26T10:26:39.000Z,155-no-such-thing-as-hurricane-schmurricane
,156: No Such Thing As A Limited Edition,1,Erika McCallister,"The vinegar fly's sperm is so long that if humans had the same sperm-to-body ratio, Dan's sperm would be the size of a sperm whale.",00:02:37,2022-07-26T10:27:08.000Z,156-no-such-thing-as-a-limited-edition
,156: No Such Thing As A Limited Edition,2,Dan Schreiber,"Whenever he got really angry, Winston Churchill would throw his teeth across the room.",00:12:57,2022-07-26T10:27:08.000Z,156-no-such-thing-as-a-limited-edition
,156: No Such Thing As A Limited Edition,3,Anna Ptaszynski,"Art galleries wedge marbles between paintings and the wall so that if anyone tries to steal the painting, the marbles fall on the floor and make a clattering noise.",00:22:00,2022-07-26T10:27:08.000Z,156-no-such-thing-as-a-limited-edition
,156: No Such Thing As A Limited Edition,4,Andrew Hunter Murray,Prisoners in Siberia used to eat prehistoric animals they found frozen in the ice.,00:29:11,2022-07-26T10:27:08.000Z,156-no-such-thing-as-a-limited-edition
,157: No Such Thing As High-Fiving The Beatles,1,Dan Schreiber,The man who popularized the high five only has four fingers.,00:00:50,2022-07-26T10:36:34.000Z,157-no-such-thing-as-high-fiving-the-beatles
,157: No Such Thing As High-Fiving The Beatles,2,Anna Ptaszynski,"When the first American woman went into space, NASA designed a makeup kit for her.",00:12:33,2022-07-26T10:36:34.000Z,157-no-such-thing-as-high-fiving-the-beatles
,157: No Such Thing As High-Fiving The Beatles,3,James Harkin,The Indian justice system has a backlog of 31 million cases.,00:21:13,2022-07-26T10:36:34.000Z,157-no-such-thing-as-high-fiving-the-beatles
,157: No Such Thing As High-Fiving The Beatles,4,Andrew Hunter Murray,Scientists are building a special bunker in Antarctica to store bits of glacier from the Alps.,00:30:06,2022-07-26T10:36:34.000Z,157-no-such-thing-as-high-fiving-the-beatles
,158: No Such Thing As A Weasel's Fridge,1,Andrew Hunter Murray,"Sometimes racing ferrets fall asleep halfway along the course, so it's a bit like the tortoise and the hare story, so that the hare is a ferret.",00:00:38,2022-07-26T10:39:02.000Z,158-no-such-thing-as-a-weasel-s-fridge
,158: No Such Thing As A Weasel's Fridge,2,James Harkin,"According to Venezuelan law, 90% of wheat must be made into loaves of bread rather than cakes or pastries.",00:14:38,2022-07-26T10:39:02.000Z,158-no-such-thing-as-a-weasel-s-fridge
,158: No Such Thing As A Weasel's Fridge,3,Anna Ptaszynski,GCHQ has an internal ghost hunting club.,00:20:46,2022-07-26T10:39:02.000Z,158-no-such-thing-as-a-weasel-s-fridge
,158: No Such Thing As A Weasel's Fridge,4,Dan Schreiber,There are now washing machines in India that have a button specifically for curry stains.,00:29:41,2022-07-26T10:39:02.000Z,158-no-such-thing-as-a-weasel-s-fridge
,159: No Such Thing As An Edible Jockey,1,James Harkin,"In 1966, the Chinese press reported that a 73-year-old Chairman Mao had swam 15 kilometres of the Yangtze River in 65 minutes, which is twice the speed that Michael Phelps has ever swam.",00:01:20,2022-07-26T10:39:28.000Z,159-no-such-thing-as-an-edible-jockey
,159: No Such Thing As An Edible Jockey,2,Andrew Hunter Murray,Seahorses greet their partners every day to make sure they are still alive.,00:09:39,2022-07-26T10:39:28.000Z,159-no-such-thing-as-an-edible-jockey
,159: No Such Thing As An Edible Jockey,3,Dan Schreiber,Falcon experts put on a special hat when they want to collect semen.,00:18:51,2022-07-26T10:39:28.000Z,159-no-such-thing-as-an-edible-jockey
,159: No Such Thing As An Edible Jockey,4,Anna Ptaszynski,Mayan women had to prove they could make cocoa with the right amount of froth before men would marry them.,00:27:54,2022-07-26T10:39:28.000Z,159-no-such-thing-as-an-edible-jockey
,160: No Such Thing As A Sausage Jacuzzi,1,Dan Schreiber,"At rush hour, there are more people under the ground in London than there are above the ground in Edinburgh.",00:00:39,2022-07-26T10:39:58.000Z,160-no-such-thing-as-a-sausage-jacuzzi
,160: No Such Thing As A Sausage Jacuzzi,2,James Harkin,"Every month, the same number of people on average Google how to make love as how to make slime.",00:16:48,2022-07-26T10:39:58.000Z,160-no-such-thing-as-a-sausage-jacuzzi
,160: No Such Thing As A Sausage Jacuzzi,3,Anna Ptaszynski,Old Faithful Geyser in Yellowstone used to be used as a washing machine.,00:26:49,2022-07-26T10:39:58.000Z,160-no-such-thing-as-a-sausage-jacuzzi
,160: No Such Thing As A Sausage Jacuzzi,4,Andrew Hunter Murray,"There are three world's largest porch swings in Nebraska, Louisiana, and Ontario, and none of them is on a porch.",00:33:25,2022-07-26T10:39:58.000Z,160-no-such-thing-as-a-sausage-jacuzzi
,161: No Such Thing As A Magic Donkey,1,Anna Ptaszynski,The person who invented the lie detector married the first person he interrogated with it.,00:00:45,2022-07-26T10:40:22.000Z,161-no-such-thing-as-a-magic-donkey
,161: No Such Thing As A Magic Donkey,2,Andrew Hunter Murray,Liechtenstein has roughly two companies for every person who lives there.,00:12:39,2022-07-26T10:40:22.000Z,161-no-such-thing-as-a-magic-donkey
,161: No Such Thing As A Magic Donkey,3,Dan Schreiber,"In 47 BC, there was a giant robot Cleopatra walking the streets of Alexandria, squirting milk from her breasts onto the heads of onlookers.",00:19:38,2022-07-26T10:40:22.000Z,161-no-such-thing-as-a-magic-donkey
,161: No Such Thing As A Magic Donkey,4,James Harkin,Manatees control their buoyancy through flatulence.,00:28:56,2022-07-26T10:40:22.000Z,161-no-such-thing-as-a-magic-donkey
,162: No Such Thing As Catastrophic Shoelaces,1,Anna Ptaszynski,The largest diamond ever found in Russia is called the 26th Congress of the Communist Party of the Soviet Union.,00:00:39,2022-07-26T10:40:46.000Z,162-no-such-thing-as-catastrophic-shoelaces
,162: No Such Thing As Catastrophic Shoelaces,2,Dan Schreiber,Scientists have announced that they finally know why shoelaces untie themselves.,00:11:07,2022-07-26T10:40:46.000Z,162-no-such-thing-as-catastrophic-shoelaces
,162: No Such Thing As Catastrophic Shoelaces,3,Andrew Hunter Murray,Nelson's ship HMS Victory nearly didn't get out of the dock it was built in because it was too big.,00:26:12,2022-07-26T10:40:46.000Z,162-no-such-thing-as-catastrophic-shoelaces
,162: No Such Thing As Catastrophic Shoelaces,4,James Harkin,"In a chocolate hobnob, the chocolate is on the bottom.",00:34:58,2022-07-26T10:40:46.000Z,162-no-such-thing-as-catastrophic-shoelaces
,163: No Such Thing As Too Fast For A Fish,1,John Hodgman,"Not many people know that the real reason the Titanic sank is not because it hit an iceberg, but because so many time travelers visited at the same time, the weight of all the bodies forced it under the ocean's surface.",00:03:25,2022-07-26T10:41:10.000Z,163-no-such-thing-as-too-fast-for-a-fish
,163: No Such Thing As Too Fast For A Fish,2,James Harkin,"During the Californian gold rush, a pair of boots could cost the equivalent of $2,300 in today's money.",00:19:15,2022-07-26T10:41:10.000Z,163-no-such-thing-as-too-fast-for-a-fish
,163: No Such Thing As Too Fast For A Fish,3,Andrew Hunter Murray,The area of Australia owned by British people is larger than Britain.,00:33:55,2022-07-26T10:41:10.000Z,163-no-such-thing-as-too-fast-for-a-fish
,163: No Such Thing As Too Fast For A Fish,4,Anna Ptaszynski,"In the first half of the 20th century, multiple countries considered draining the Mediterranean Sea.",00:44:15,2022-07-26T10:41:10.000Z,163-no-such-thing-as-too-fast-for-a-fish
,164: No Such Thing As A Poo Powered Plane,1,Andrew Hunter Murray,"Ideas proposed for the U.S. border wall include a trench full of nuclear waste, a one-way mirror, and three million hammocks next to each other.",00:03:11,2022-07-26T10:41:33.000Z,164-no-such-thing-as-a-poo-powered-plane
,164: No Such Thing As A Poo Powered Plane,2,James Harkin,"North Korea's national airline, Koreo, owns 10 times more taxis than it owns aeroplanes.",00:14:05,2022-07-26T10:41:33.000Z,164-no-such-thing-as-a-poo-powered-plane
,164: No Such Thing As A Poo Powered Plane,3,Dan Schreiber,All NASA astronauts are wearing hand-me-downs.,00:25:55,2022-07-26T10:41:33.000Z,164-no-such-thing-as-a-poo-powered-plane
,164: No Such Thing As A Poo Powered Plane,4,Anna Ptaszynski,"As of last week, whenever state media in Tajikistan mentions the president, they now legally have to refer to him by his full title, which is, ""The founder of peace and national unity, leader of the nation, president of the Republic of Tajikistan, his excellency, Emma Marley-Raman.""",00:33:18,2022-07-26T10:41:33.000Z,164-no-such-thing-as-a-poo-powered-plane
,165: No Such Thing As A Spider The Size Of A Sheep,1,Dan Schreiber,The Chinese government are planning on giving their national anthem a speed limit.,00:00:39,2022-07-26T10:42:01.000Z,165-no-such-thing-as-a-spider-the-size-of-a-sheep
,165: No Such Thing As A Spider The Size Of A Sheep,2,James Harkin,"In 1921, 78% of shaving brushes sold in New York contained anthrax.",00:09:06,2022-07-26T10:42:01.000Z,165-no-such-thing-as-a-spider-the-size-of-a-sheep
,165: No Such Thing As A Spider The Size Of A Sheep,3,Andrew Hunter Murray,The cargo hold of the largest plane in service is longer than the first flight of the Wright brothers.,00:15:01,2022-07-26T10:42:01.000Z,165-no-such-thing-as-a-spider-the-size-of-a-sheep
,165: No Such Thing As A Spider The Size Of A Sheep,4,Anna Ptaszynski,Poo on a table will look closer to you than it actually is.,00:23:44,2022-07-26T10:42:01.000Z,165-no-such-thing-as-a-spider-the-size-of-a-sheep
,166: No Such Thing As A Courgette In Your Ear,1,Andrew Hunter Murray,Chicken's eggs turn from pointy end first to the blunt end first just before they come out.,00:00:49,2022-07-26T10:42:24.000Z,166-no-such-thing-as-a-courgette-in-your-ear
,166: No Such Thing As A Courgette In Your Ear,2,James Harkin,"The former prime minister of Georgia has started taking famous trees from around his country, digging them up, and then planting them in his own garden.",00:10:24,2022-07-26T10:42:24.000Z,166-no-such-thing-as-a-courgette-in-your-ear
,166: No Such Thing As A Courgette In Your Ear,3,Dan Schreiber,US military medics use longer needles than normal because soldiers are often too buff for the regular ones.,00:23:55,2022-07-26T10:42:24.000Z,166-no-such-thing-as-a-courgette-in-your-ear
,166: No Such Thing As A Courgette In Your Ear,4,Anna Ptaszynski,"If you drew a dot in indelible ink on your eardrum, it would appear on the outside of your ear within a few weeks.",00:36:13,2022-07-26T10:42:24.000Z,166-no-such-thing-as-a-courgette-in-your-ear
,167: No Such Thing As Milk From A Yak,1,Anna Ptaszynski,Tibet is suffering from a shortage of butter sculptors.,00:00:39,2022-07-26T10:42:47.000Z,167-no-such-thing-as-milk-from-a-yak
,167: No Such Thing As Milk From A Yak,2,Dan Schreiber,"You can email any one of the 70,000 trees in Melbourne, Australia.",00:09:22,2022-07-26T10:42:47.000Z,167-no-such-thing-as-milk-from-a-yak
,167: No Such Thing As Milk From A Yak,3,James Harkin,The world's hottest chili is not meant to be eaten; it's meant to be used as an anesthetic.,00:23:45,2022-07-26T10:42:47.000Z,167-no-such-thing-as-milk-from-a-yak
,167: No Such Thing As Milk From A Yak,4,Andrew Hunter Murray,One of Napoleon's admirals lost three legs in battle.,00:33:33,2022-07-26T10:42:47.000Z,167-no-such-thing-as-milk-from-a-yak
,168: No Such Thing As Lord Cauldronhead,1,Anna Ptaszynski,All forfeited election deposits go straight to the Queen.,00:01:26,2022-07-26T10:43:15.000Z,168-no-such-thing-as-lord-cauldronhead
,168: No Such Thing As Lord Cauldronhead,2,Dan Schreiber,Only one political party in this 2017 election offered to do anything about yetis.,00:11:16,2022-07-26T10:43:15.000Z,168-no-such-thing-as-lord-cauldronhead
,168: No Such Thing As Lord Cauldronhead,3,James Harkin,"Kenya have an election later this year and they're running out of symbols for their candidates, which means that candidates are now using symbols such as a milk packet, a termite and a robot.",00:23:24,2022-07-26T10:43:15.000Z,168-no-such-thing-as-lord-cauldronhead
,168: No Such Thing As Lord Cauldronhead,4,Andrew Hunter Murray,"In the 19th century, one of England's constituencies had no people living in it and another one was underwater.",00:31:17,2022-07-26T10:43:15.000Z,168-no-such-thing-as-lord-cauldronhead
,169: No Such Thing As Constantly Awake Beauty,1,Alex Bell,Baby elephants suck their trunks for comfort.,00:00:40,2022-07-26T10:43:39.000Z,169-no-such-thing-as-constantly-awake-beauty
,169: No Such Thing As Constantly Awake Beauty,2,James Harkin,Moviegoers blink in sync.,00:08:14,2022-07-26T10:43:39.000Z,169-no-such-thing-as-constantly-awake-beauty
,169: No Such Thing As Constantly Awake Beauty,3,Andrew Hunter Murray,"If you buy an apple today, it might have been taken off the tree in May 2014.",00:19:29,2022-07-26T10:43:39.000Z,169-no-such-thing-as-constantly-awake-beauty
,169: No Such Thing As Constantly Awake Beauty,4,Anna Ptaszynski,The first Western eye witness account of India described it as having ants the size of foxes.,00:27:48,2022-07-26T10:43:39.000Z,169-no-such-thing-as-constantly-awake-beauty
,170: No Such Thing As A Love Potion For A Vole,1,James Harkin,Early ice skating rinks stank of pig fat.,00:00:31,2022-07-26T10:44:03.000Z,170-no-such-thing-as-a-love-potion-for-a-vole
,170: No Such Thing As A Love Potion For A Vole,2,Anna Ptaszynski,"In 1912, the Toronto government ran a fly swatting competition, which was won by a 15-year-old girl who killed half a million flies.",00:11:40,2022-07-26T10:44:03.000Z,170-no-such-thing-as-a-love-potion-for-a-vole
,170: No Such Thing As A Love Potion For A Vole,3,Alex Bell,"When animating 101 Dalmatians, Disney photocopied the dogs.",00:19:39,2022-07-26T10:44:03.000Z,170-no-such-thing-as-a-love-potion-for-a-vole
,170: No Such Thing As A Love Potion For A Vole,4,Andrew Hunter Murray,Seeds have brains.,00:31:28,2022-07-26T10:44:03.000Z,170-no-such-thing-as-a-love-potion-for-a-vole
,171: No Such Thing As A Half-Ape Vampire,1,Dan Schreiber,The Icelandic version of Agatha Christie's Lord Edgewear Dies took over 10 years to complete because the translator couldn't work out how to translate two words.,00:00:39,2022-07-26T10:44:25.000Z,171-no-such-thing-as-a-half-ape-vampire
,171: No Such Thing As A Half-Ape Vampire,2,James Harkin,"Out of the 360 million wheels of Camembert produced every year, only 1% are actually Camembert.",00:12:01,2022-07-26T10:44:25.000Z,171-no-such-thing-as-a-half-ape-vampire
,171: No Such Thing As A Half-Ape Vampire,3,Andrew Hunter Murray,"Norway's coastline is so long that if you took a piece of string along it and then stretched it out, it would run around the whole planet two and a half times.",00:22:05,2022-07-26T10:44:25.000Z,171-no-such-thing-as-a-half-ape-vampire
,171: No Such Thing As A Half-Ape Vampire,4,Anna Ptaszynski,Beef stroganoff is named after the great-grandson of the person who brought human chess to Russia.,00:31:52,2022-07-26T10:44:25.000Z,171-no-such-thing-as-a-half-ape-vampire
,172: No Such Thing As A Cat-a-Cops Cartoon,1,Anna Ptaszynski,"In China, you can hire mistress dispellers to lure away your husband's mistress.",00:00:38,2022-07-26T10:44:49.000Z,172-no-such-thing-as-a-cat-a-cops-cartoon
,172: No Such Thing As A Cat-a-Cops Cartoon,2,James Harkin,Richard Nixon's chair was 2.5 inches higher than everyone else's in the cabinet room.,00:12:59,2022-07-26T10:44:49.000Z,172-no-such-thing-as-a-cat-a-cops-cartoon
,172: No Such Thing As A Cat-a-Cops Cartoon,3,Andrew Hunter Murray,There is a special police unit in France whose job is to monitor six million dead people.,00:23:39,2022-07-26T10:44:49.000Z,172-no-such-thing-as-a-cat-a-cops-cartoon
,172: No Such Thing As A Cat-a-Cops Cartoon,4,Dan Schreiber,The number one place to buy CDs in Indonesia now is KFC.,00:25:25,2022-07-26T10:44:49.000Z,172-no-such-thing-as-a-cat-a-cops-cartoon
,173: No Such Thing As Symphony For Sizzurp In D Minor,1,Andrew Hunter Murray,"To be a tennis umpire, you have to learn a 230-page book.",00:00:38,2022-07-26T10:45:16.000Z,173-no-such-thing-as-symphony-for-sizzurp-in-d-minor
,173: No Such Thing As Symphony For Sizzurp In D Minor,2,Anna Ptaszynski,"In Mexico, artists can pay their taxes in artwork.",00:17:54,2022-07-26T10:45:16.000Z,173-no-such-thing-as-symphony-for-sizzurp-in-d-minor
,173: No Such Thing As Symphony For Sizzurp In D Minor,3,James Harkin,The size of a rainbow can tell you how polluted the air is.,00:26:33,2022-07-26T10:45:16.000Z,173-no-such-thing-as-symphony-for-sizzurp-in-d-minor
